,Institution,Lat,Long,Country
114,Universidad de Huelva,37.2700864,-6.9253024,Spain
115,Institute of Space Science Bucharest,44.3573732,26.0366946,Romania
116,PNNL,46.3441279,-119.2755502,USA
117,University of Basel,47.55853735,7.582636263,Switzerland
118,University of Texas at El Paso,31.77570475,-106.5062875,USA
119,GSI Darmstadt,49.93206065,8.681902845,Germany
120,Universidad Autonoma del Estado de Mexico,19.12939495,-98.77152396,Mexico
121,Monash University,-37.8774234,145.0449669,Australia
122,Armagh Observatory and Planetarium,54.352201,-6.645739,United Kingdom
123,James Madison University,38.4364404,-78.86896481,USA
124,Max Planck Institute for Astronomy/ Heidelberg Institute for Theoretical Studies,49.3954011,8.7234095,Germany
125,National Institute for Astrophysics - Rome,41.8397403,12.6489285,Italy
126,Bucknell University,40.9515356,-76.88796034,USA
127,Saint Mary's University,44.63111455,-63.58013458,Canada
128,TU Darmstadt,49.93146155,8.678997963,Germany
129,Universidad de Sevilla,37.3818133,-5.9910238,Spain
130,University of Hertfordshire,51.75174425,-0.239049794,United Kingdom
131,University of Amsterdam,52.36813335,4.889804156,Netherlands
132,Heidelberg Institute for Theoretical Studies,49.4153802,8.7365752,Germany
133,Oak Ridge National Laboratory,35.93013315,-84.31193066,USA
134,Universidade de São Paulo,-23.5652201,-46.71258298,Brazil
135,Rutgers University,40.4929778,-74.44510808,USA
136,"HZDR, ANU",51.057451,13.9533109,Germany
137,Lawrence Livermore National Lab,37.6820273,-121.7062915,USA
138,Goethe University,50.1272173,8.667622789,Germany
139,Helmholtz-Zentrum Dresden-Rossendorf,51.057451,13.95331088,Germany
140,Horia Hulubei National Institute for Research and Development in Physics and Nuclear Engineering (IFIN-HH),44.3513331,26.0435119,Romania
141,RIKEN,35.690557,139.743591,Japan
142,Michigan State University/FRIB,42.7240388,-84.472076,USA
143,Ohio University,39.32417815,-82.10156481,USA
144,KEK High Energy Accelerator Research Organization,36.1516751,140.0725669,Japan
145,"Laboratori Nazionali del Gran Sasso, INFN",42.4203,13.515,Italy
146,"Institute of Astronomy, KU Leuven",50.8627998,4.6769219,Belgium
147,Max Planck Institute for Astronomy  Heidelberg,49.3954011,8.7234095,Germany
148,Heidelberg University/ Heidelberg Institute for Theoretical Studies,49.4153802,8.7365752,Germany
149,Observatoire de Paris,48.83589585,2.335742848,France
150,INFN Padua,45.4090372,11.886,Italy
151,University of Indiana,39.77477735,-86.17696358,USA
152,Nihon University,35.69715535,139.7625818,Japan
153,Heidelberg Institute of Technology,48.782,9.26881,Germany
154,University of Hull,53.7710908,-0.368390596,United Kingdom
155,University of York,53.9453903,-1.031459294,United Kingdom
156,Rikkyo University,35.72985055,139.7030216,Japan
157,University of Applied Sciences Aachen,50.75670275,6.0950565,Germany
